dataset,size,m0.00,m0.05,m0.10,m0.15,m0.20,m0.25,m0.30
imdb,1%,75.1,76.6,76.5,80.6,86.9,89.8,90.4
imdb,5%,76.1,74.4,74.7,78.7,85.0,89.8,90.4
imdb,10%,76.2,74.5,75.5,78.0,84.8,89.5,90.4
imdb,25%,77.2,74.7,76.2,77.9,81.0,87.8,90.1
imdb,50%,77.1,74.8,76.1,78.0,85.7,89.9,90.2
imdb,100%,76.6,75.1,75.9,78.1,84.9,89.3,90.3
sst,1%,68.9,68.9,70.1,72.3,73.9,73.4,75.4
sst,5%,70.3,70.3,71.3,72.3,77.4,77.4,77.1
sst,10%,71.1,70.1,71.5,73.7,77.5,79.1,77.6
sst,25%,72.4,71.1,73.6,73.8,78.4,81.4,78.0
sst,50%,73.7,72.2,75.3,74.5,78.9,82.3,82.4
sst,100%,75.2,72.9,74.0,74.3,79.3,82.8,81.8
subj,1%,69.8,71.5,75.2,78.4,78.5,75.5,76.2
subj,5%,67.1,67.0,70.7,79.2,83.4,82.1,81.4
subj,10%,64.8,66.5,66.0,77.6,83.8,83.0,82.1
subj,25%,62.5,65.1,64.8,74.0,83.9,83.5,82.3
subj,50%,61.7,64.5,64.8,73.6,84.2,83.5,82.3
subj,100%,61.2,64.0,63.4,70.2,83.9,83.6,82.1
